task,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,baseline_omnipred_24m
AntMorphology-Exact-v0,0.443582147359848,0.4851595163345337,0.4381221830844879
DKittyMorphology-Exact-v0,0.8800321817398071,0.7923798859119415,0.7323802262544632
Superconductor-RandomForest-v0,0.3884745240211487,0.5072207003831863,0.2841781899333
TFBind8-Exact-v0,0.5929240584373474,0.5310683250427246,0.6213999390602112
TFBind10-Exact-v0,0.4903862476348877,0.5048518180847168,0.4849498122930527
HopperController-Exact-v0,0.0824912153184413,-0.0071083479560911,0.0098112220875918
gtopx_data_2_1,0.9999035470336204,0.9980577892341718,0.999863442370006
gtopx_data_3_1,0.999985037578904,0.9999793412498328,0.9999930801620172
gtopx_data_4_1,0.999999903458758,0.9999998097412957,
gtopx_data_6_1,0.999801928278928,0.9999507423714769,
KP_50,2.0967721939086914,2.1742398738861084,
KP_100,2.169469892978668,2.151217997074127,
KP_200,2.0804423093795776,2.0363632440567017,
TSP_20,0.1219458281993866,0.201406143605709,
TSP_50,0.2202204726636409,0.0529364608228206,
TSP_100,0.2387357056140899,0.254960335791111,
LunarLander_136,0.6577658011464583,0.6017529721261605,
LunarLander_100,0.5415492157614203,0.7688499971662736,
LunarLander_148,0.6105413973115549,0.7272437902135319,
LunarLander_91,0.6461408447943591,0.6854003524048395,
LunarLander_152,0.6883772654367999,0.8800244847129973,
LunarLander_117,0.6906197268398958,0.6157166057624142,
LunarLander_174,0.5360728786025729,0.5494982823356197,
LunarLander_127,0.6238245849499924,0.719646610673242,
LunarLander_60,0.7821992374742986,0.5823926725629058,
LunarLander_163,0.9284875304241568,0.9229354557478424,
LunarLander_86,0.8128195177739355,0.4601283249647799,
LunarLander_142,0.4757823923126714,0.550891771163537,
LunarLander_113,0.3644990836263674,0.3687337739069601,
LunarLander_155,0.8077986118621273,0.5541112575160947,
LunarLander_53,0.5587540740824679,0.751864521681533,
LunarLander_159,0.4689503704070393,0.5391891518284675,
LunarLander_180,0.5994016511386235,0.3816439909709117,
LunarLander_103,1.2658391923925043,0.8107988023280568,
LunarLander_116,0.9757261528017296,0.6079831339242927,
RobotPush_256,1.0429856941263589,1.97134045557608,
RobotPush_210,0.784204659334742,0.8317950643759927,
RobotPush_12,0.9273120399596994,,
RobotPush_125,0.6579182666133604,,
RobotPush_140,1.2525920672781077,,
RobotPush_96,0.6922642049709858,,
RobotPush_172,0.406022348352672,,
RobotPush_182,1.0,,
RobotPush_123,0.7303790635451701,,
RobotPush_22,0.7797216154115005,,
RobotPush_11,0.8015499832490027,,
RobotPush_144,0.5112806489520056,,
RobotPush_298,0.8735565784906538,,
RobotPush_291,0.7135643095167808,,
RobotPush_90,0.798477275349062,,
RobotPush_57,0.8851410493007743,,
RobotPush_160,0.949042454069838,,
RobotPush_250,0.9695452148977536,,
RobotPush_21,0.8159544253491566,,
RobotPush_100,0.5892318236173367,,
Rover_107,0.9428616106761704,,
Rover_160,0.8686058748047749,,
Rover_292,0.772888882264397,,
Rover_130,0.9285858609501136,,
Rover_85,0.8613149610190175,,
Rover_54,0.8355874920518543,,
Rover_205,0.909797793738706,,
Rover_150,0.9110877155057968,,
Rover_97,0.8644332875476948,,
Rover_26,0.8382938777044703,,
Rover_215,0.6781754002572898,,
Rover_63,0.924606240916862,,
Rover_294,0.8198835056747495,,
Rover_56,0.8637815248637217,,
Rover_13,0.9663463097303974,,
Rover_135,0.8940166486321761,,
Rover_82,0.8408934368688097,,
Rover_165,0.8454384406535936,,
Rover_252,0.9200325986347966,,
Rover_43,0.878787636752418,,
HPOB_5906_9914,0.9525756877803928,,
HPOB_5906_9952,0.4000533885958749,,
HPOB_5906_3492,0.9932569599913456,,
HPOB_5906_3493,0.7018841528457939,,
HPOB_5906_3954,0.4688041481616541,,
HPOB_5906_7295,0.1894470656940034,,
HPOB_5906_49,0.5083461237117743,,
HPOB_5906_14965,0.8966525824797995,,
HPOB_5906_14951,0.9630457055626014,,
HPOB_5906_31,0.6033631011621273,,
HPOB_5906_125923,0.0115463835192111,,
HPOB_5906_3,0.3994192777245626,,
HPOB_5906_3902,0.5587781615862114,,
HPOB_5906_9957,0.572367578206756,,
HPOB_5906_9967,0.6711228811320765,,
HPOB_5906_9983,0.4442585039045424,,
HPOB_5906_3917,0.3386182081660805,,
HPOB_5906_9978,0.6187308740838148,,
HPOB_5906_3891,0.1850576925605632,,
HPOB_5906_6566,0.0249020145628336,,
HPOB_5906_9889,0.8389204868332217,,
HPOB_5906_3494,0.4313630986133028,,
HPOB_5906_37,1.047500117254597,,
HPOB_5906_3896,0.7267772414326827,,
HPOB_5889_6566,0.585813588985642,,
HPOB_5889_14971,0.8897302596827329,,
HPOB_5889_9983,0.3567628555502571,,
HPOB_5889_3954,0.0696457550346812,,
HPOB_5889_9977,0.0749328013237924,,
HPOB_5889_7295,0.2092937849544703,,
HPOB_5889_3889,0.0476774081715813,,
HPOB_5889_9970,0.3462190196368017,,
HPOB_5889_3891,0.1407470816268575,,
HPOB_5889_9978,0.0527825092834235,,
HPOB_5889_3917,0.2380986314920092,,
HPOB_5889_9957,0.1398588342093137,,
HPOB_5889_9980,0.3346809955761599,,
HPOB_5889_3494,0.1085562486912019,,
HPOB_5889_10101,0.5776385555798872,,
HPOB_5889_31,0.5303233861923217,,
HPOB_5889_3493,0.9988439761378338,,
HPOB_5889_3913,0.4020759616370917,,
HPOB_5889_9946,0.8243826974582192,,
HPOB_5889_125923,0.6668525449173348,,
